x_curr,y_curr,x_prev,y_prev
1.36633e+52,5.35658e-105,1.03141e+52,9.40014e-105
1.81e+52,3.05239e-105,1.36633e+52,5.35658e-105
2.39775e+52,1.73938e-105,1.81e+52,3.05239e-105
3.17634e+52,9.91167e-106,2.39775e+52,1.73938e-105
4.20775e+52,5.64807e-106,3.17634e+52,9.91167e-106
5.57408e+52,3.2185e-106,4.20775e+52,5.64807e-106
7.38409e+52,1.83403e-106,5.57408e+52,3.2185e-106
9.78183e+52,1.0451e-106,7.38409e+52,1.83403e-106
1.29582e+53,5.95542e-107,9.78183e+52,1.0451e-106
1.71659e+53,3.39364e-107,1.29582e+53,5.95542e-107
2.274e+53,1.93383e-107,1.71659e+53,3.39364e-107
